seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
1,0,0,2.2764,9.82339,0.724896,41.2405,0.861,0.613343,185.441,20.23,0.756757,28.257,64.3243,6.54808,4.74668,161.353,0.860608,0.100226,65.4171,15.1135,208.275,179.325,4.06,True,0.00580626,0.861,185.441,0.100226
1,0,1,3.05202,16.3234,0.252283,74.6493,0.482517,0.610925,184.71,20.23,1.23323,34.3461,104.825,6.42176,1.6201,388.48,0.485025,0.515994,242.116,23.0568,208.44,100.576,4.08,False,0.00580626,0.861,185.441,0.100226
1,0,2,3.84677,7.31678,0.835145,53.79,0.894033,0.615353,186.048,20.23,0.630563,13.9332,53.5979,7.32534,6.11771,32.6889,0.908903,0.0579216,16.8688,11.8675,207.989,185.949,4.08,True,0.00580626,0.861,185.441,0.0579216
1,0,3,1.5298,13.8298,0.474104,60.3812,0.629949,0.607647,183.718,20.23,0.996592,55.3733,84.7103,6.1252,2.90398,815.994,0.631405,0.210982,292.971,31.0165,208.673,131.453,4.06,False,0.00580626,0.861,185.441,0.0579216
1,0,4,2.02594,6.21721,0.387201,68.5436,0.844361,0.612219,185.101,20.23,0.702053,29.4552,59.6745,9.59828,3.71646,162.654,0.852346,0.159387,120.112,11.3401,208.269,175.855,4.06,True,0.00788523,0.844361,185.101,0.0579216
1,0,5,4.08165,12.6395,0.588736,56.9707,0.774392,0.615034,185.952,20.23,1.00608,20.9515,85.5165,6.76583,3.98329,117.931,0.768328,0.126802,42.2836,5.60776,208.042,161.106,4.06,True,0.01945,0.774392,185.101,0.0579216
1,0,6,3.37824,10.4033,0.505873,76.4234,0.804793,0.615101,185.972,20.23,0.929703,23.3923,79.0247,7.59612,3.84268,135.85,0.801309,0.13431,54.4914,5.5582,208.026,167.417,4.08,True,0.01945,0.774392,185.101,0.0579216
1,0,7,2.68121,16.7865,0.804658,47.9963,0.802186,0.612929,185.315,20.23,1.00407,31.831,85.3455,5.08417,4.09102,271.663,0.804392,0.127181,84.7146,9.69812,208.229,167.039,4.08,False,0.01945,0.774392,185.101,0.0579216
1,0,8,2.87408,7.82206,0.557963,58.1463,0.838139,0.614916,185.916,20.23,0.753267,22.2776,64.0277,8.18553,4.56722,99.8288,0.848986,0.103193,45.9823,9.8529,208.1,174.417,4.06,True,0.0199898,0.774392,185.101,0.0579216
1,1,9,2.63079,5,0.916667,40,0.834076,0.615273,186.024,20.23,0.451828,14.5984,38.4054,7.68108,7.04099,25.7131,0.861154,0.0453797,20.9376,20.1693,208.166,173.626,4.06,True,0.0233719,0.774392,185.101,0.0453797
